index	name	color
1	17Networks_1	#781286
2	17Networks_2	#FF0000
3	17Networks_3	#4682B4
4	17Networks_4	#2ACCA4
5	17Networks_5	#4A9B3C
6	17Networks_6	#00760E
7	17Networks_7	#C43AFA
8	17Networks_8	#FF98D5
9	17Networks_9	#DCF8A4
10	17Networks_10	#7A8732
11	17Networks_11	#778CB0
12	17Networks_12	#E69422
13	17Networks_13	#87324A
14	17Networks_14	#0C30FF
15	17Networks_15	#000082
16	17Networks_16	#FFFF00
17	17Networks_17	#CD3E4E
